feature,gain,split
CREDIT_TO_INCOME_RATIO,12795.16594209671,600.3
GROUP_CREDIT_TO_ANNUITY_STD,12715.697840309143,654.2
BUREAU_ACTIVE_DAYS_CREDIT_ENDDATE_MIN,12578.663442420959,667.5
BUREAU_LAST12M_AMT_CREDIT_SUM_SUM,12530.707571697236,517.3
BUREAU_CLOSED_DAYS_CREDIT_VAR,12471.56486401558,578.2
PREV_ACTIVE_REMAINING_DEBT_SUM,12441.915943813325,520.7
BUREAU_CREDIT_AMT_CREDIT_SUM_DEBT_MAX,12432.955339479446,555.5
PREV_Consumer_AMT_ANNUITY_MEAN,12313.73974428177,577.6
BUREAU_CREDIT_DAYS_CREDIT_MEAN,12311.475161027909,597.7
PREV_APPLICATION_CREDIT_DIFF_MAX,12215.933847332,362.8
INS_60M_LATE_PAYMENT_RATIO_MEAN,11941.210312271118,324.4
APPROVED_AMT_DOWN_PAYMENT_MAX,11865.00326538086,416.5
BUREAU_CLOSED_DAYS_CREDIT_MAX,11840.785083198547,579.4
GROUP_CREDIT_MEAN,11721.858138942718,529.8
YEARS_BEGINEXPLUATATION_MEDI,11707.135626459121,606.0
BUREAU_ACTIVE_AMT_CREDIT_SUM_SUM,11623.469604253769,527.3
INS_60M_DAYS_ENTRY_PAYMENT_MIN,11532.98046092987,449.3
REFUSED_DAYS_DECISION_MAX,11418.62491889,435.2
INCOME_TO_BIRTH_RATIO,11407.875855970382,583.6
12_TREND_DPD,11353.128155517577,474.3
BUREAU_DAYS_CREDIT_ENDDATE_MAX,11295.40695924759,537.5
DAYS_CREDIT_MEAN_TO_EMPLOYED,11011.030140256882,566.6
CC_LIMIT_USE_MAX,10956.947302150726,379.3
GROUP_INCOME_STD,10901.716246032714,563.3
BUREAU_DAYS_CREDIT_MEAN,10849.660301446915,467.2
DAYS_CREDIT_MEAN_TO_BIRTH,10816.085882759095,522.7
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,10765.890702295303,276.1
BUREAU_CONSUMER_AMT_CREDIT_SUM_MEAN,10760.944028282165,517.8
TOTALAREA_MODE,10712.670861148834,483.2
INS_36M_AMT_PAYMENT_MIN,10601.584066534042,448.0
BUREAU_LAST6M_DEBT_PERCENTAGE_MEAN,10563.968816804885,445.7
GROUP_ANNUITY_STD,10558.576127481461,549.7
DAYS_DECISION_MEAN_TO_EMPLOYED,10541.53605466485,524.4
GROUP_ANNUITY_MEAN,10530.611350917816,545.9
BUREAU_CREDIT_DAYS_CREDIT_ENDDATE_MAX,10503.686551189423,551.2
BUREAU_ACTIVE_DAYS_CREDIT_ENDDATE_MAX,10440.659184217453,510.7
PREV_Consumer_APPLICATION_CREDIT_RATIO_MEAN,10372.351379442214,446.5
INS_36M_DPD_VAR,10371.423389673233,331.1
BUREAU_CLOSED_AMT_CREDIT_SUM_MEAN,10255.201501846313,517.6
BUREAU_CLOSED_AMT_CREDIT_SUM_SUM,10242.200517749787,473.3
CURRENT_TO_APPROVED_CREDIT_MIN_RATIO,10222.082542324066,503.7
CC_CNT_DRAWINGS_CURRENT_MEAN,10196.68079328537,316.1
BUREAU_LAST12M_AMT_CREDIT_SUM_MAX,10160.367660045624,449.4
BUREAU_ACTIVE_DAYS_CREDIT_MEAN,10156.065933942795,514.6
INS_60M_DPD_7_MEAN,10135.684334516525,295.2
NEW_DOC_KURT,10092.536990642548,226.5
PREV_ACTIVE_REMAINING_DEBT_MAX,9990.50652937889,425.0
INS_36M_DAYS_ENTRY_PAYMENT_MEAN,9951.851255989075,461.5
PREV_HOUR_APPR_PROCESS_START_MEAN,9809.912734317779,484.9
NAME_INCOME_TYPE,9760.001211833955,257.1
INS_60M_DAYS_ENTRY_PAYMENT_MEAN,9739.456899023056,425.6
INS_36M_LATE_PAYMENT_RATIO_MEAN,9731.24707326889,314.7
BUREAU_CONSUMER_DEBT_CREDIT_DIFF_MEAN,9660.059245586395,486.5
BUREAU_ACTIVE_DAYS_CREDIT_UPDATE_MEAN,9640.101807451249,502.6
BUREAU_ACTIVE_AMT_CREDIT_MAX_OVERDUE_MAX,9638.647050285339,361.3
INS_36M_DAYS_ENTRY_PAYMENT_MIN,9610.419955301284,425.2
APPROVED_SIMPLE_INTERESTS_MEAN,9601.129409313202,431.6
BUREAU_ACTIVE_DAYS_CREDIT_UPDATE_MIN,9550.144883680343,490.3
PREV_APPLICATION_CREDIT_RATIO_MEAN,9493.430780696868,392.3
PREV_Consumer_DAYS_LAST_DUE_1ST_VERSION_MEAN,9437.377777817845,439.3
REGION_RATING_CLIENT_W_CITY,9408.202853870393,322.6
BUREAU_CLOSED_AMT_CREDIT_SUM_MAX,9396.490041828156,454.0
BUREAU_CREDIT_AMT_CREDIT_SUM_DEBT_MEAN,9386.296982908249,426.8
INS_36M_DAYS_ENTRY_PAYMENT_MAX,9385.849205827713,466.8
POS_REMAINING_INSTALMENTS,9353.516926956177,371.2
ORGANIZATION_TYPE,9351.456007385254,528.2
INS_36M_DBD_VAR,9325.875512695313,482.2
BUREAU_DAYS_CREDIT_MIN,9319.458933448792,482.5
PREV_DAYS_DECISION_MEAN,9309.531383132935,375.7
INS_12M_CNT_DRAWINGS_ATM_CURRENT_MEAN,9158.016384315491,215.6
LIVINGAREA_AVG,9136.574457502365,422.8
BUREAU_CONSUMER_AMT_CREDIT_SUM_MAX,9094.06612906456,436.0
PREV_Cash_DAYS_DECISION_MAX,9055.869363212585,478.5
PREV_LAST24M_DAYS_DECISION_MIN,8970.642929601669,465.3
BUREAU_LAST12M_AMT_CREDIT_SUM_DEBT_MEAN,8968.23320274353,412.0
BUREAU_AMT_CREDIT_SUM_MEAN,8945.500024032594,438.9
BUREAU_AMT_CREDIT_SUM_SUM,8928.743987321854,376.4
PREV_APPLICATION_CREDIT_RATIO_VAR,8919.67929353714,461.1
BUREAU_INCOME_CREDIT_RATIO,8904.263731813431,440.8
PAYMENT_MIN_TO_ANNUITY_RATIO,8892.23467054367,412.1
BUREAU_CONSUMER_AMT_CREDIT_SUM_DEBT_MEAN,8881.92205104828,376.7
INS_36M_DBD_MEAN,8847.21442580223,459.2
POS_MONTHS_BALANCE_MIN,8750.668187665939,372.2
INS_60M_DBD_VAR,8749.413160467147,448.6
BUREAU_DAYS_CREDIT_ENDDATE_MIN,8728.891578245162,444.3
PREV_Consumer_APPLICATION_CREDIT_DIFF_VAR,8719.623850011825,448.9
BUREAU_CONSUMER_DAYS_CREDIT_MEAN,8696.5924305439,434.9
PREV_LAST24M_DAYS_DECISION_MEAN,8671.056384944915,443.4
PREV_ACTIVE_DAYS_LAST_DUE_1ST_VERSION_MIN,8639.702444839477,372.7
PREV_Consumer_SIMPLE_INTERESTS_VAR,8609.946200466156,446.7
INS_DBD_VAR,8609.393686008454,445.2
BUREAU_CONSUMER_AMT_CREDIT_MAX_OVERDUE_MEAN,8566.69771680832,364.9
PREV_AMT_DOWN_PAYMENT_MAX,8498.572151184082,343.8
PREV_Consumer_SIMPLE_INTERESTS_MIN,8482.1153236866,412.0
CTA_CREDIT_TO_ANNUITY_MEAN_RATIO,8421.007966041565,432.6
INS_DAYS_ENTRY_PAYMENT_MEAN,8413.27969970703,357.6
PREV_Consumer_APPLICATION_CREDIT_RATIO_MIN,8342.956772089005,409.8
PREV_LAST24M_APPLICATION_CREDIT_RATIO_MEAN,8339.545038700104,409.6
PREV_LAST24M_SIMPLE_INTERESTS_MEAN,8236.504989910125,394.2
DEF_30_CNT_SOCIAL_CIRCLE,8232.402521944046,270.6
INS_36M_AMT_INSTALMENT_MIN,8154.692028188705,389.1
DAYS_DECISION_MEAN_TO_BIRTH,8125.4386875629425,373.8
PREV_Consumer_DAYS_LAST_DUE_1ST_VERSION_MAX,8108.177618169784,394.4
REFUSED_DAYS_DECISION_MEAN,8061.795996522904,295.9
PREV_Consumer_APPLICATION_CREDIT_DIFF_MIN,8054.173970365524,415.9
FLAG_DOCUMENT_3,8027.519651317596,153.3
BUREAU_CONSUMER_AMT_CREDIT_SUM_DEBT_MAX,8002.321029806137,359.5
REFUSED_AMT_CREDIT_MIN,7961.412615013122,357.6
INS_AMT_INSTALMENT_SUM,7949.461423683167,294.5
CURRENT_TO_APPROVED_CREDIT_MAX_RATIO,7893.140240764618,351.9
INS_60M_DBD_MEAN,7875.274962472916,403.5
PREV_CREDIT_TO_ANNUITY_RATIO_MEAN,7863.25263876915,344.2
BUREAU_CREDIT_AMT_CREDIT_SUM_MAX,7843.542384338379,404.4
INS_DBD_MEAN,7830.463205909729,397.4
PREV_Cash_APPLICATION_CREDIT_RATIO_MEAN,7804.671058225632,329.1
PREV_Consumer_SIMPLE_INTERESTS_MEAN,7771.438792181015,388.8
BUREAU_CREDIT_AMT_CREDIT_SUM_MEAN,7766.311267471314,407.6
APPROVED_SIMPLE_INTERESTS_MAX,7753.595405340195,395.0
PREV_ACTIVE_DAYS_DECISION_MIN,7717.285327243805,391.2
PREV_Consumer_SIMPLE_INTERESTS_MAX,7670.678915977478,396.2
CC_LIMIT_USE_MEAN,7645.718530797958,235.9
PREV_AMT_ANNUITY_MIN,7638.01676735878,380.4
PREV_AMT_DOWN_PAYMENT_MEAN,7593.468576717377,358.7
PREV_Cash_APPLICATION_CREDIT_RATIO_MIN,7547.35042848587,291.3
CTA_CREDIT_TO_ANNUITY_MAX_RATIO,7546.111673259735,382.8
APPROVED_CNT_PAYMENT_MEAN,7533.517225837708,321.0
